0001000,1
0001001,2
0001002,3
1001003,4
1001004,5
1001005,6
1101004,7
1101005,8
1101006,9
1101007,10
1201005,11
1201006,12
1301004,13
1301005,14
1301006,15
1301007,16
2001002,17
2001003,18
2001004,19
2001005,20
2101001,21
2101002,22
2101003,23
2101004,24
2101005,25
2201004,26
2201005,27
2301002,28
2301003,29
2301004,30
2301005,31
3001003,32
3001004,33
3001005,34
3101002,35
3101003,36
3101004,37
3101005,38
3201002,39
3201003,40
3201004,41
3201005,42
4001002,43
4001003,44
4001334,45
4001344,46
4101003,47
4101004,48
4101005,49
4201002,50
4201004,51
4201005,52
5001001,53
5001002,54
5001003,55
5001005,56
5101002,57
5101003,58
5101004,59
5101005,60
5101006,61
5101007,62
5201001,63
5201002,64
5201003,65
5201004,66
5201005,67
5201006,68
